Dónde estás trabajando,Dedicación,Tipo de contrato,Último salario mensual o retiro BRUTO (en pesos argentinos),Último salario mensual o retiro NETO (en pesos argentinos),Pagos en dólares,Si tu sueldo está dolarizado ¿Cuál fue el último valor del dólar que tomaron?,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste actualizaciones de tus ingresos laborales durante 2024?,¿De qué % fue el ajuste total acumulado?,¿En qué mes fue el último ajuste?,Cómo considerás que están tus ingresos laborales comparados con el semestre anterior,¿Contás con beneficios adicionales?,¿Qué tan conforme estás con tus ingresos laborales?,¿Estás buscando trabajo?,Trabajo de,Años de experiencia,Antigüedad en la empresa actual,Años en el puesto actual,¿Cuántas personas tenés a cargo?,Plataformas que utilizas en tu puesto actual,Lenguajes de programación o tecnologías que utilices en tu puesto actual,"Frameworks, herramientas y librerías que utilices en tu puesto actual",Bases de datos,QA / Testing,Cantidad de personas en tu organización,Modalidad de trabajo,Si trabajás bajo un esquema híbrido ¿Cuántos días a la semana vas a la oficina?,"En los últimos 6 meses, ¿se aplicó alguna política de ajustes salariales?","En los últimos 6 meses, ¿hubo reducción de personal?",¿La recomendás como un buen lugar para trabajar?,"¿Qué tanto estás usando Copilot, ChatGPT u otras herramientas de IA para tu trabajo?",Máximo nivel de estudios,Estado,Carrera,Institución educativa,¿Tenés guardias?,Cuánto cobrás por guardia,Aclará el número que ingresaste en el campo anterior,Tengo (edad),Género
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),3244360.37,2606439,,No esta dolarizado,De uno a tres sueldos,Performance de la compañía,Tres,80,Abril,4,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Licencia por nacimiento extendida",4,"No, estoy muy conforme.",SysAdmin,7,5,2,0,Azure,Powershell,Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",Postman,De 1001 a 2000 personas,Híbrido (presencial y remoto),3,,No,10,3,,,,,,,,38,Masculino
Neuquén,Full-Time,Freelance,3200000,3150000,,,No,No recibo bono,Tres,56,Mayo,3,Ninguna de las anteriores,3,"No, estoy muy conforme.",SysAdmin,18,18,18,2,"VMWare, Windows Server",SQL,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,De 2 a 10 personas,Híbrido (presencial y remoto),4,Si,No,9,1,Universitario,Incompleto,,UBA - Universidad de Buenos Aires,No,0,Porcentaje de mi sueldo bruto,44,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3700000,3200000,,,Un sueldo,Performance individual,Más de tres,80,Abril,4,Clases de idiomas,4,"No, pero escucho ofertas.",Developer,5,3,3,0,"Amazon Web Services, OpenShift","Bash/Shell, HTML, Java, Javascript, TypeScript","Angular, Next.js, Node.js, React.js, Spring","Amazon DynamoDB, ElasticSearch, MySQL","Jest, Mocha, Postman",De 2001a 5000 personas,100% remoto,0,"si, sindicato bancario.",No,9,4,Secundario,Completo,Tecnicatura en Programación,UTN - Universidad Tecnológica Nacional,No,0,Bruto,31,Masculino
Santa Fe,Full-Time,Staff (planta permanente),990000,,,,No,No recibo bono,Uno,2,Enero,2,"Abono de Internet, Capacitaciones y/o cursos",2,"No, pero escucho ofertas.",QA / Tester,7,3,7,0,Ninguna de las anteriores,SQL,Ninguno de los anteriores,Microsoft SQL Server,Postman,De 51 a 100 personas,100% remoto,0,"Una,por paritarias",No sé,8,0,Universitario,Incompleto,Psicóloga,UNR - Universidad Nacional de Rosario,No,0,Porcentaje de mi sueldo bruto,33,Femenino
Córdoba,Full-Time,Staff (planta permanente),1500000,1300000,,,No,No recibo bono,Dos,114,Abril,1,"Abono de Internet, Clases de idiomas",2,"No, pero escucho ofertas.",BI Analyst / Data Analyst,7,2,2,0,Ninguna de las anteriores,Ninguno de los anteriores,SAP Hana,Microsoft SQL Server,Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,Por debajo del IPC,No sé,6,0,,,,,,,,35,Masculino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),1918018,1660000,,,De uno a tres sueldos,Mix de las anteriores,Uno,35,Febrero,4,"Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Horarios flexibles",4,"No, estoy muy conforme.",Developer,4,1.5,1.5,0,"Docker, Serverless","Go, HTML, Java, Javascript, Python","Node.js, Spring",MySQL,"Jest, Postman",Más de 10000 personas,100% remoto,0,revisiones cada dos meses,No,9,2,,,,,,,,35,Masculino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),1040162,829416,,,No,No recibo bono,Uno,8,Marzo,1,Ninguna de las anteriores,1,"No, pero escucho ofertas.",Developer,19,11,11,0,"Docker, Linux","HTML, Java, Javascript, PHP, Python","Bootstrap, Django, Flask, jQuery, Laravel, WordPress","MariaDB, PostgreSQL","JUnit, PHPUnit",De 51 a 100 personas,100% presencial,0,"Si, por paritarias, en los últimos meses por decreto",No sé,10,4,,,,,,,,45,Masculino
Provincia de Buenos Aires,Full-Time,Contractor,7721560,7721560,Cobro todo el salario en dólares,1090,Menos de un sueldo,Performance de la compañía,No,0,No tuve,3,Ninguna de las anteriores,3,"No, pero escucho ofertas.",Developer,10,2,2,0,"Docker, Linux","Javascript, Ruby","Angular, jQuery, Rails",PostgreSQL,RSpec,De 51 a 100 personas,100% remoto,0,No,No sé,8,2,Universitario,Completo,Licenciatura en Informática,UNLP - Universidad Nacional de La Plata,"Sí, pasiva",0,Porcentaje de mi sueldo bruto,36,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,3900000,3500000,Cobro todo el salario en dólares,,No,No recibo bono,No,0,No tuve,1,"Capacitaciones y/o cursos, Clases de idiomas, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Developer,5,1,5,0,"Docker, Kubernetes",".NET, C#",.NET Core,"Microsoft SQL Server, MongoDB, Redis",Xunit,De 201 a 500 personas,100% remoto,0,,Sí,2,1,Universitario,Completo,Diseño Gráfico,UBA - Universidad de Buenos Aires,No,0,Porcentaje de mi sueldo bruto,48,Masculino
Mendoza,Full-Time,Contractor,6000000,5870000,Cobro parte del salario en dólares,1067,Un sueldo,Mix de las anteriores,Tres,50,Abril,3,"Capacitaciones y/o cursos, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, pero escucho ofertas.",QA / Tester,8,3,2,0,"Amazon Web Services, Docker, IBM Cloud / Watson, Linux","Java, Javascript, Python, Scala, SQL","Node.js, React.js, Spring","Cassandra, Microsoft SQL Server, MongoDB","Appium, Cucumber, Cypress, Lippia, Katalon, Mocha, Postman, Puppeteer, Selenium, SoapUI, Autoc0de",De 2001a 5000 personas,100% remoto,0,,No sé,7,5,,,,,,,,28,Masculino
La Pampa,Full-Time,Freelance,1200000,1000000,Cobro parte del salario en dólares,1400,No,No recibo bono,No,0,No tuve,2,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Estacionamiento gratuito / subvencionado, Horarios flexibles, Sueldo dividido en dos pagos por mes, Vacaciones flexibles (adicionales a las reglamentarias)",2,"No, pero escucho ofertas.",Product Owner,23,23,23,0,"Docker, Linux, DigitalOcean","CSS, HTML, Javascript, PHP, Python, Ruby, SQL","Bootstrap, CodeIgniter, jQuery, Laravel, Next.js, Node.js, Joomla","MariaDB, MongoDB, MySQL, SQLite",Postman,De 2 a 10 personas,100% remoto,0,Se practicó ajuste segun el valor del dolar blue para que no suceda lo que en el 2015,No,9,2,,,,,,,,35,Masculino
Provincia de Buenos Aires,Full-Time,Contractor,6000000,6000000,Cobro todo el salario en dólares,,No,No recibo bono,No,0,No tuve,3,"Horarios flexibles, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, pero escucho ofertas.",Developer,6,1,1,0,Amazon Web Services,"Javascript, Python, TypeScript","Django, React.js",PostgreSQL,"Jest, Selenium, Vitest",De 101 a 200 personas,100% remoto,0,,No,9,3,Universitario,En curso,Licenciatura en Sistemas de Información,UADE - Universidad Argentina De la Empresa,No,0,Porcentaje de mi sueldo bruto,29,Masculino
Córdoba,Full-Time,Staff (planta permanente),750000,600000,Cobro parte del salario en dólares,879,No,No recibo bono,Tres,20,Abril,1,"Abono de Internet, Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá)",1,"Sí, estoy buscando activamente.",QA / Tester,3,3,3,0,"Amazon Web Services, Azure, Kubernetes",Python,Selenuim,Amazon DynamoDB,Selenium,Más de 10000 personas,100% remoto,0,Solo del sindicato de comercio,Sí,0,5,,,,,,,,35,Femenino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),696,570,,,No,No recibo bono,No,30,Marzo,1,"Abono de celular, Capacitaciones y/o cursos, Clases de idiomas",1,"Sí, estoy buscando activamente.",SysAdmin,25,16,16,0,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Linux, Serverless, VMWare, Windows Server",Ninguno de los anteriores,"Django, Drupal, Node.js, WordPress","MariaDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB, MySQL",Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,teóricamente fue un ajuste por inflación que quedo muy lejos del valor real,No,5,3,,,,,,,,54,Masculino
Córdoba,Full-Time,Staff (planta permanente),850000,750000,Cobro parte del salario en dólares,1050,No,No recibo bono,No,0,No tuve,1,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Estacionamiento gratuito / subvencionado, Horarios flexibles, Lactario en la oficina, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",2,"No, pero escucho ofertas.",Marketing,8,4,4,0,Amazon Web Services,Ninguno de los anteriores,WordPress,Ninguna de las anteriores,Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,No,Sí,8,4,Maestría,Incompleto,Marketing,Universidad Siglo 21,,,,34,Femenino
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,680000,530000,,,No,No recibo bono,No,0,No tuve,1,Ninguna de las anteriores,1,"Sí, estoy buscando activamente.",Developer,12,4,4,2,"Docker, Linux","CSS, HTML, Javascript, PHP, SQL","Bootstrap, Laravel, Vue.js","MongoDB, MySQL",PHPUnit,De 201 a 500 personas,100% remoto,0,No,Sí,5,4,,,,,,,,42,Masculino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),1400000,1250000,,,No,No recibo bono,Uno,28,Abril,3,"Abono de Internet, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Licencia por nacimiento extendida, prepaga",3,"No, pero escucho ofertas.",Networking,13,4,2,0,"Linux, Windows Server",".NET, C#, HTML, Python, SQL",.NET Core,"MariaDB, Microsoft SQL Server, MongoDB, Redis",Ninguna de las anteriores,De 51 a 100 personas,100% remoto,0,2 ajustes,Sí,7,2,Terciario,Completo,Tecnicatura Superior en Programación,ORT,"Sí, pasiva",20,Porcentaje de mi sueldo bruto,37,Masculino
Formosa,Part-Time,Tercerizado (trabajo a través de consultora o agencia),780000,780000,,,Un sueldo,Performance de la compañía,Dos,22,Mayo,3,Ninguna de las anteriores,3,"No, pero escucho ofertas.",Developer,3,2,2,0,SAP,"SQL, VBA",SAP,Ninguna de las anteriores,Ninguna de las anteriores,De 201 a 500 personas,100% presencial,0,,No sé,10,4,Universitario,En curso,Licenciatura en Informática,Universidad Siglo 21,,,,41,Masculino
Provincia de Buenos Aires,Full-Time,Contractor,3000000,3000000,Cobro todo el salario en dólares,,No,No recibo bono,No,0,No tuve,4,Ninguna de las anteriores,4,"No, pero escucho ofertas.",Data Engineer,15,0,6,0,Ninguna de las anteriores,SQL,.NET Core,Ninguna de las anteriores,Ninguna de las anteriores,De 51 a 100 personas,100% remoto,0,"no, trabajo como contractor y mi salario es fijo",No sé,0,2,Maestría,Completo,Ingeniería en Informática,UAI - Universidad Abierta Interamericana,No,0,Porcentaje de mi sueldo bruto,41,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2585000,2260000,Cobro parte del salario en dólares,1380,De uno a tres sueldos,como le caigas al jefe,Dos,45,Abril,1,"Abono de Internet, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles",2,"Sí, estoy buscando activamente.",Infosec,7,3,3,0,"Amazon Web Services, Docker, Firebase, Google Cloud Platform, Kubernetes, Linux, Windows Server",Python,Bootstrap,"Amazon RDS/Aurora, ElasticSearch, Google Cloud Storage, MongoDB",Postman,De 1001 a 2000 personas,100% remoto,0,"si, la cambiaron de mensual a trimestral",Sí,6,0,Universitario,En curso,,UNLP - Universidad Nacional de La Plata,No,0,Porcentaje de mi sueldo bruto,35,masculino
Córdoba,Full-Time,Contractor,1300000,1300000,,,No,No recibo bono,Más de tres,90,Mayo,4,"Capacitaciones y/o cursos, Clases de idiomas, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Developer,5,3,3,0,"Docker, Linux","CSS, HTML, Javascript, TypeScript","Angular, jQuery, Node.js, TensorFlow, Vue.js",MongoDB,Jest,De 11  a 50  personas,100% remoto,0,"Si, se ajustaron los sueldos del sector IT respecto a valores de mercado",No,10,4,Universitario,Incompleto,Licenciatura en Comunicación Social,UNC - Universidad Nacional de Córdoba,No,0,Neto,30,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1400000,1000000,,,No,No recibo bono,Dos,45,Abril,2,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas",2,"No, pero escucho ofertas.",Consultant,4,0,4,0,"Ninguna de las anteriores, Finnegans",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),2,"Si, inflación.",No sé,7,3,Universitario,En curso,Licenciatura en Sistemas de Información,UBA - Universidad de Buenos Aires,,,,37,Femenino
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),400000,350000,,,No,No recibo bono,No,0,No tuve,1,Horarios flexibles,1,"Sí, estoy buscando activamente.",HelpDesk,3,0,0,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 101 a 200 personas,100% presencial,0,,No sé,4,1,,,,,,,,31,masculino
Córdoba,Full-Time,Staff (planta permanente),2000000,1500000,Cobro parte del salario en dólares,1030,No,No recibo bono,Uno,50,Marzo,3,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería",3,"No, estoy muy conforme.",Technical Leader,7,7,2,2,"Amazon Web Services, Azure, Docker, Serverless, Windows Server",".NET, Bash/Shell, C#, HTML, Javascript, SQL, TypeScript",".NET Core, Node.js, React.js","Amazon DynamoDB, Amazon RDS/Aurora, SQLite","JUnit, Postman, Xunit",De 201 a 500 personas,100% remoto,0,,Sí,9,3,,,,,,,,32,Masculino
Río Negro,Full-Time,Staff (planta permanente),4500000,3500000,Cobro parte del salario en dólares,1060,No,No recibo bono,Tres,30,Enero,2,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, estoy muy conforme.",Manager / Director,15,11,2,80,"Amazon Web Services, Docker, Google Cloud Platform, Kubernetes, Linux",".NET, Arduino, Bash/Shell, C#, CSS, HTML, Javascript, PHP, Python, SQL, TypeScript",".NET Core, Angular, Bootstrap, CodeIgniter, Cordova, Drupal, HTMX, jQuery, Laravel, Next.js, Node.js, React.js, Vue.js, WordPress","Amazon DynamoDB, Google Cloud Storage, MariaDB, Microsoft SQL Server, MongoDB, MySQL, PostgreSQL, Redis, SQLite","Cucumber, Cypress, JUnit, Mocha, Postman, Selenium, Visual Studio Coded UI",De 101 a 200 personas,Híbrido (presencial y remoto),3,,Sí,7,5,Terciario,Completo,Analista de Computación,,No,0,Porcentaje de mi sueldo bruto,37,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,8500000,,Cobro todo el salario en dólares,,No,No recibo bono,No,0,No tuve,3,"Capacitaciones y/o cursos, Horarios flexibles, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Developer,27,1.9,1.9,2,"Docker, Firebase, Linux, Google Cloud","Javascript, Python",Django,"ElasticSearch, Google Cloud Storage, Google Big Query",pytest,De 501 a 1000 personas,100% remoto,0,no,No,6,3,,,,,,,,48,Masculino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),2400000,1900000,Cobro parte del salario en dólares,oficial,Un sueldo,Performance individual,Uno,29,Febrero,1,"Abono de Internet, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá)",3,"No, pero escucho ofertas.",Developer,4,2,2,0,"Amazon Web Services, Docker",Go,Ninguno de los anteriores,Amazon DynamoDB,Ninguna de las anteriores,De 1001 a 2000 personas,100% remoto,0,Si,No sé,8,2,Secundario,Completo,,,No,0,Porcentaje de mi sueldo bruto,36,Masculino
Mendoza,Full-Time,Contractor,3000000,2900000,Cobro todo el salario en dólares,,No,No recibo bono,No,0,No tuve,2,Clases de idiomas,3,"No, pero escucho ofertas.",Developer,8,0,0,0,"Amazon Web Services, Docker, Serverless","Javascript, SQL, TypeScript","Next.js, Node.js, React.js, Nest.js",PostgreSQL,Ninguna de las anteriores,De 51 a 100 personas,100% remoto,0,No,No sé,5,5,Maestría,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,No,0,Porcentaje de mi sueldo bruto,32,Masculino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),2800000,2600000,Cobro parte del salario en dólares,1071,No,No recibo bono,Uno,50,Marzo,2,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Project Manager,4,2,2,0,Azure,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 501 a 1000 personas,100% remoto,0,Ajusta por inflacion cada 3 meses,Sí,7,4,,,,,,,,36,Masculino
Mendoza,Full-Time,Freelance,2000000,2000000,,,No,No recibo bono,Dos,56,Abril,3,Ninguna de las anteriores,3,"No, pero escucho ofertas.",Developer,15,6,4,3,"Amazon Web Services, Docker, Windows Server",".NET, C#, CSS, HTML, Javascript, Ruby, SQL, TypeScript","Angular, Bootstrap, jQuery, Rails",Microsoft SQL Server,Ninguna de las anteriores,De 2 a 10 personas,Híbrido (presencial y remoto),2,si,No,9,3,Universitario,Completo,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,No,0,Neto,43,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1,1500000,Mi sueldo está dolarizado (pero cobro en moneda local),1045,De uno a tres sueldos,Mix de las anteriores,Uno,3,Marzo,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles",3,"No, estoy muy conforme.",HRBP,7,1,1,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,"Si, muy bajo",Sí,9,5,Universitario,Completo,Lic RRHH,UADE - Universidad Argentina De la Empresa,,,,25,femenino
Chubut,Full-Time,Contractor,5832000,5400000,Cobro todo el salario en dólares,,Menos de un sueldo,Performance individual,No,0,No tuve,4,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, pero escucho ofertas.",Developer,12,3,6,6,"Amazon Web Services, Docker, Google Cloud Platform, Kubernetes, Linux, Serverless","HTML, Javascript, PHP, SQL, TypeScript","Next.js, Node.js, React.js, Vue.js","Amazon DynamoDB, MariaDB",Jest,De 11  a 50  personas,100% remoto,0,,No,8,1,,,,,,,,37,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2300000,1200000,,,No,No recibo bono,Más de tres,25,Mayo,2,Ninguna de las anteriores,2,"No, pero escucho ofertas.",UX Writer,5,3,3,0,H,-,-,-,-,De 51 a 100 personas,Híbrido (presencial y remoto),1,,Sí,3,4,,,,,,,,36,Femenino
Ciudad Autónoma de Buenos Aires,Full-Time,Freelance,1100000,1000000,Cobro parte del salario en dólares,1020,No,No recibo bono,Más de tres,90,Mayo,3,"Abono de celular, Horarios flexibles",3,"No, pero escucho ofertas.",Developer,14,14,4,0,"Amazon Web Services, Linux, Windows Server",".NET, C#, CSS, HTML, Javascript, PHP, SQL",".NET Core, jQuery, Laravel, WordPress","MariaDB, Microsoft SQL Server",Ninguna de las anteriores,De 2 a 10 personas,100% remoto,0,Ajuste por inflación,No,9,3,Universitario,En curso,Licenciatura en Logística,,No,0,Porcentaje de mi sueldo bruto,35,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4300000,3300000,,,No,No recibo bono,Uno,12,Abril,2,Horarios flexibles,3,"No, pero escucho ofertas.",DevOps Engineer,23,0,0,0,"Amazon Web Services, Docker, Kubernetes, Linux, Serverless","Bash/Shell, Python",.NET Core,"Amazon DynamoDB, Amazon RDS/Aurora, ElasticSearch, PostgreSQL",Postman,De 51 a 100 personas,100% remoto,0,1,No,6,5,,,,,,,,44,masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,6000000,,Cobro todo el salario en dólares,,No,No recibo bono,No,0,No tuve,3,"Clases de idiomas, Horarios flexibles, Licencia por nacimiento extendida, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Architect,10,0,2,3,"Amazon Web Services, Docker, Firebase, Linux, Serverless","CSS, HTML, Javascript, SQL, TypeScript","Node.js, React.js","Amazon Redshift, ElasticSearch, MongoDB, PostgreSQL, Redis","Cypress, Jest, Postman",De 11  a 50  personas,Híbrido (presencial y remoto),1,,No,7,3,Universitario,Completo,Licenciatura en Ciencias de la Computación,,,,,28,Masculino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),1000000,700000,,,No,ajuste salarial gremio camioneros,Dos,45,Abril,2,Ninguna de las anteriores,2,"No, pero escucho ofertas.",Developer,26,26,22,0,"Amazon Web Services, Azure, Google Cloud Platform, Linux, SAP, Windows Server",".NET, COBOL, CSS, HTML, Java, Javascript, Kotlin, PHP, Python, SQL, VBA, Visual Fox Pro","Bootstrap, Django, Flask, jQuery, Laravel, Next.js, Node.js, React.js, SAP, Spring, TensorFlow, Vue.js, WordPress","Amazon RDS/Aurora, IBM Db2, MariaDB, Microsoft SQL Server, MongoDB, MySQL, Oracle, PostgreSQL, SQLite",Ninguna de las anteriores,De 501 a 1000 personas,100% presencial,0,NO,No sé,7,2,Universitario,Completo,Analista Universitario de Sistemas,UTN - Universidad Tecnológica Nacional,No,0,Porcentaje de mi sueldo bruto,50,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,640.623,528.807,,,Menos de un sueldo,unidad retributiva con precio fijo,Dos,8,Abril,1,Ninguna de las anteriores,1,"Sí, estoy buscando activamente.",Networking,3,9,2,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,ElasticSearch,Ninguna de las anteriores,De 2001a 5000 personas,100% presencial,0,,Sí,0,3,Terciario,En curso,Tecnicatura Superior en Sistemas Informáticos,ISTEA - Instituto Superior Tecnológico Empresarial Argentino,,,,31,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5150000,3882000,,,De uno a tres sueldos,Mix de las anteriores,Uno,30,Enero,4,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Estacionamiento gratuito / subvencionado, Horarios flexibles, Lactario en la oficina, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",Technical Leader,8,4,0,2,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Kubernetes, Linux, Serverless","Bash/Shell, Go, Python, SQL",Flask,"Amazon DynamoDB, Amazon RDS/Aurora, Google Cloud Storage, SQLite",Ninguna de las anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),1,,No sé,9,3,,,,,,,,34,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3400000,2700000,,,De uno a tres sueldos,Performance compañía + individual,Uno,36,Febrero,2,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles",3,"No, pero escucho ofertas.",Data Scientist,3,1.5,0,0,Google Cloud Platform,"Python, SQL","Scikitlearn, pandas, numpy, jupyter",Google Cloud Storage,Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),1,Ajuste por inflación en febrero,No sé,8,3,,,,,,,,29,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,3675000,,Cobro todo el salario en dólares,,No,No recibo bono,No,0,No tuve,3,"Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, pero escucho ofertas.",Developer,4,1,0,0,"Google Cloud Platform, Linux, Serverless","Java, Javascript, Python","Django, FastAPI","Google Cloud Storage, MongoDB, PostgreSQL, Firestore",Postman,De 101 a 200 personas,100% remoto,0,,Sí,8,5,,,,,,,,29,Masculino
Córdoba,Full-Time,Staff (planta permanente),5219759,3816608,Mi sueldo está dolarizado (pero cobro en moneda local),885,De uno a tres sueldos,Performance individual,No,0,No tuve,3,"Abono de Internet, Clases de idiomas",3,"No, pero escucho ofertas.",DevOps Engineer,28,2,10,0,"Amazon Web Services, Docker, Kubernetes, Linux, Serverless","Bash/Shell, Go",Ninguno de los anteriores,Ninguna de las anteriores,"RSpec, Visual Studio Coded UI",De 2001a 5000 personas,100% remoto,0,Se hace una vez al año pero no en los últimos 6 meses.,Sí,5,2,Posgrado/Especialización,Completo,Ingeniería Electrónica,UNC - Universidad Nacional de Córdoba,"Sí, pasiva",0,Bruto,51,Masculino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),895958,750512,Mi sueldo está dolarizado (pero cobro en moneda local),,No,No recibo bono,Dos,30,Abril,2,"Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Horarios flexibles, Guardería o pago para cubrir costo de guardería",1,"No, pero escucho ofertas.",Developer,3,2,2,0,Ninguna de las anteriores,"CSS, HTML, Java, Javascript, TypeScript","Bootstrap, jQuery, Vue.js",MySQL,Ninguna de las anteriores,De 1001 a 2000 personas,Híbrido (presencial y remoto),3,no,No,6,5,Terciario,Completo,Analista de Sistemas,ITBA Instituto Tecnológico de Buenos Aires,,,,28,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3340000,2724000,,,3+ sueldos,Performance de la compañía,Dos,48,Marzo,3,"Comidas pagas / subvencionadas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Developer,16,3,12,0,"Amazon Web Services, Docker, Kubernetes, Linux","Java, SQL","Bootstrap, Hibernate, Spring","Amazon RDS/Aurora, MariaDB, MongoDB","JUnit, Postman",De 51 a 100 personas,Híbrido (presencial y remoto),1,,No,8,1,,,,,,,,39,M
